Titel;Satz;Position1;Position2;Suspense
Eine Spukgeschichte;Er hörte jeden Ton, er sah, wie die Tasten niedergedrückt wurden, wie die Saiten zitterten, aber nicht den leisesten Schimmer einer Gestalt.;15445;15585;/1
Am Kamin;"Während der letzten Monate hatte ich mit diesem werten Freunde, der sich rücksichtlich des annahenden Todes keineswegs einer Täuschung hingab, vielfache Gespräche gepflogen, wie wir sie heute abend hier gehört haben;";43292;43508;/0
Am Kamin;"Es existierte – so erzählte sie mir –, vorzeiten in unsrer Gegend eine reiche holländische Familie, welche allmählich fast alle großen Höfe in der Nähe meiner Vaterstadt in Besitz bekommen hatte – vorzeiten, sage ich; denn das Glück der van A... hatte nicht standgehalten.";24648;24920;/0
Am Kamin;Ein paar Tage nachdem ich meinen neuen Bestimmungsort erreicht hatte, saß ich eines Nachmittags, mit Briefschreiben beschäftigt, auf meinem Zimmer.;39637;39784;/0
Am Kamin;Nach Verlauf eines Monats kehrte er spät in der Nacht von einem benachbarten Orte zurück, wohin ihn sein Meister mit einem Geschäftsauftrage gesandt hatte.;12419;12574;/0
Am Kamin;Ein Kaminfeuer läßt sich doch bei sechzehn Grad Wärme nicht anzünden!;20875;20944;/0
Tatsachen im Falle Waldemar;die Augenlider öffneten sich so weit, daß sie ein wenig den weißen Augapfel enthüllten, die Lippen regten sich träge, und in kaum hörbarem Flüstern entrangen sich ihnen die Worte:;11642;11821;/1
Am Kamin;Er nahm dann wohl, wenn er es bemerkte, ihre blasse Hand und hielt sie fest in der seinigen, während er in dem vor ihm liegenden Buche weiterlas.;15749;15894;/0
Am Kamin;"Unten in seiner Kammer lag er unausgekleidet auf seinem Bette; traumlos, in tiefem, bleiernem Schlaf.";19117;19218;/0
Eine Spukgeschichte;Der Obrist nahm sich mit aller Kraft zusammen, aber man merkte wohl an seinem verstörten Wesen die tiefe feindliche Wirkung jenes unerklärlichen Phänomens.;10693;10848;/1
Am Kamin;Ich bestrafe mich durch Schweigen.;36884;36918;/0
Eine Spukgeschichte;O Gott;10117;10123;/1
Eine Spukgeschichte;Es ist das Gefühl der gänzlichen hilflosesten Ohnmacht, das den Geist zermalmen müßte.;14887;14973;/0
Tatsachen im Falle Waldemar;"Wir ließen nun Herrn Waldemar bis gegen drei Uhr morgens ungestört; dann trat ich zu ihm und fand ihn in derselben Verfassung wie zur Zeit, als Dr. F. fortgegangen war – das will sagen, sein Zustand war unverändert:";10473;10688;/0
Am Kamin;"die eine Wand war ganz davon beleuchtet;";10282;10322;/1
Am Kamin;Wir sind bereit zu hören.;37194;37219;/0
Am Kamin;das Gras auf den Fennen funkelte nur so in der Sonne, und die Stare mit ihrem lustigen Geschrei flogen in ganzen Scharen zwischen dem weidenden Vieh umher.;5278;5433;/0
Eine Spukgeschichte;Kaum schlägt es den Abend darauf neun Uhr als Adelgunde mitten in der Gesellschaft, die sie umgibt, entsetzt aufspringt und ruft:;6335;6464;/1
Eine Spukgeschichte;Der Sohn befand sich, als ich dorten war, bei der Armee, so daß die Familie außer dem Ehepaar nur noch aus zwei Töchtern und einer alten Französin bestand, die eine Art von Gouvernante vorzustellen sich mühte, unerachtet die Mädchen schon über die Zeit des Gouvernierens hinaus schienen.;226;513;/0
Am Kamin;Da war kein Ausweg, ich mußte auf den Ball verzichten.;39456;39510;/0
Am Kamin;Arbeit und Verdienst war regulär, und auch mit seinen beiden Nebengesellen hatte er sich auf guten Fuß gestellt.;11104;11216;/0
Am Kamin;Er hatte sich, als die Schwäche der Mutter plötzlich in ungewöhnlicher Art zugenommen, die Erlaubnis ausgewirkt, seine Arbeiten im Hause zu fertigen, und saß nun im Krankenzimmer an dem entlegensten Fenster, von dem er ein wenig die Gardine zurückgeschlagen, bald emsig schreibend, bald einen sorglichen Blick nach den dunklen Vorhängen des Bettes hinüberwerfend.;17987;18350;/0
Am Kamin;Ich küsse Ihnen die Hand, gnädige Frau.;3321;3360;/0
Am Kamin;Mit einem Wort, ich konnte mich nicht überwinden und schlief endlich wieder ein.;34490;34570;/0
Tatsachen im Falle Waldemar;Erstens schien die Stimme an unsere Ohren – an meine wenigstens – aus weiter Ferne zu dringen oder aus einer tiefen Höhle aus dem Erdinnern.;15261;15401;/1
Eine Spukgeschichte;seufzt Adelgunde;10135;10151;/1
Am Kamin;»Meine verehrten Herrschaften«, sagte er dann, »ich habe soeben etwas erfahren – was und woher, erlassen Sie mir, Ihnen mitzuteilen.;46898;47030;/1
Eine Spukgeschichte;Und damit wickelt sie sich in ihren weißen Shawl und schwebt leichtfüßig fort durch den Laubgang, und die Mädchen laufen ihr nach in vollem Schäkern und Lachen.;4871;5031;/1
Eine Spukgeschichte;Sie bildet sich nämlich ein, sie sei jenes unsichtbare körperlose Gespenst Adelgundens, flieht daher alle Menschen oder hütet sich wenigstens, sobald ein anderer zugegen, zu reden, sich zu bewegen.;11361;11558;/0
Am Kamin;Ich kann das eigentlich nicht bestreiten.;3397;3438;/0
Tatsachen im Falle Waldemar;Bevor die Doktoren D. und F. sich zu mir wendeten, um mir den Zustand ihres Patienten zu schildern, hatten sie diesem ein letztes Lebewohl geboten.;6102;6249;/0
Am Kamin;Bleibt aber doch immerhin die Apothekerflamme der Berzeliuslampe!;21503;21568;/0
Am Kamin;»Jagen Sie mich nicht fort, Herr«, sagte er endlich, »es ist aus großer Not geschehen.«;34788;34875;/1
Am Kamin;So fang denn endlich einmal an!;725;756;/0
Tatsachen im Falle Waldemar;Ich fürchte, Sie haben es schon zu lange hinausgeschoben.;8049;8106;/1
Am Kamin;und als ich die Tür öffne, um hinauszusehen, steht wieder die Frau van A... vor mir, in derselben Kleidung, wie ich sie das vorige Mal gesehen.;29309;29452;/1
Eine Spukgeschichte;Ihr vierzehnter Geburtstag wurde gefeiert, eine Menge Gespielinnen waren dazu eingeladen.;4098;4187;/0
Am Kamin;Denn es war bald an dem einen, bald an dem andern Ende des Haufens darin gewühlt, und eine Menge Körner lagen unordentlich über die Dielen zerstreut, was ich an den Abenden vorher, wo ich zufällig auch dort gewesen war, nicht bemerkt hatte.;32891;33131;/1
Am Kamin;"Durch jenes Häuschen führte ein Richtweg nach der Hauptstraße; und neben dem Wege war das Stübchen der Putzmacherin.";23042;23158;/0
Am Kamin;Ich sehe noch das stille, etwas kränkliche Gesicht, wenn sie mitunter von der Arbeit aufblickte und mit einem Ausdruck der Sorge und der zärtlichsten Verehrung die Augen auf ihrem einzigen Kinde ruhen ließ.;15542;15748;/0
Tatsachen im Falle Waldemar;ich habe geschlafen;15981;16000;/1
Tatsachen im Falle Waldemar;Sofort kehrten die hektischen Wangenflecke zurück, die Zunge zuckte, oder besser, sie rollte heftig im Munde hin und her (obgleich Kinnladen und Mund wie vorher weit aufgerissen blieben), und schließlich stürzte dieselbe grauenhafte Stimme hervor, die ich bereits beschrieben habe:;19632;19913;/1
Tatsachen im Falle Waldemar;Ich fragte den Magnetisierten von neuem:;12021;12061;/1
Am Kamin;Es könnte sogar sehr bald geschehen, denn es ist spät, meine Herrschaften, Bürger-Bettzeit, wie ich fast in dieser auserwählten Gesellschaft gesagt hätte.;49710;49864;/0
Am Kamin;Nun, gnädige Frau, unter Ihrem Vorsitz wollen wir es immer darauf wagen.;402;474;/0
Eine Spukgeschichte;Man lachte, man war fröhlicher als je.;9269;9307;/0
Tatsachen im Falle Waldemar;Ein Pfleger und eine Pflegerin waren anwesend, aber ich fühlte mich nicht ganz berechtigt, mich einer so bedeutungsvollen Aufgabe zu unterziehen, ohne daß für den Fall eines unerwarteten Ereignisses zuverlässigere Zeugen zugegen waren als diese beiden Leute.;6696;6954;/1
Am Kamin;"Nur einmal habe ich einen andern Menschen als ihre alte Magd bei ihr angetroffen; und die kurze Szene, von der ich damals Augenzeuge wurde, machte auf mich einen tiefen Eindruck, ohne daß ich mir über die Bedeutung derselben klarzuwerden vermocht hätte.";26396;26649;/1
Am Kamin;Gnädige Frau, wenn es auch wetterleuchtet draußen, wir sind immerhin schon dicht an den November.;20947;21044;/0
Am Kamin;Was es anders wäre?;48993;49012;/0
Am Kamin;Das hält auch besser Dauer als jene ungemütliche Maschinerie.;21369;21430;/0
Tatsachen im Falle Waldemar;Ja, ich wünsche hypnotisiert zu werden ...;7973;8015;/0
Tatsachen im Falle Waldemar;Die Pfleger widmeten ihm beständige Aufmerksamkeit.;18552;18603;/0
Eine Spukgeschichte;Das seltsamste war aber, daß, sowie es abends acht Uhr geworden, das Fräulein erst von der Französin, dann von Mutter, Schwester, Vater gemahnt wurde, sich in ihr Zimmer zu begeben, wie man kleine Kinder zu Bette treibt, damit sie nicht übermüden, sondern fein ausschlafen.;3032;3305;/0
Am Kamin;Ich will unsre beiderseitige Zuneigung keineswegs herabsetzen.;23781;23843;/0
Tatsachen im Falle Waldemar;Er war sehr reizbar und eignete sich daher für mesmeristische Versuche vortrefflich.;2099;2183;/0
Am Kamin;Acht Tage später war unser Freund des Nachmittags im Auftrage seines Vaters nach dem Hofe hinausgeritten.;6864;6969;/0
Am Kamin;Soll ich an einer zurückgetretenen Spukgeschichte ersticken?;1154;1214;/0
Tatsachen im Falle Waldemar;»Herr Waldemar«, sagte ich, »schlafen Sie?«;11345;11388;/1
Tatsachen im Falle Waldemar;Dr. D. beschloß sofort, die ganze Nacht bei dem Patienten zu verbringen, während Dr. F. sich mit dem Versprechen verabschiedete, bei Tagesanbruch wiederzukommen.;10252;10413;/0
Eine Spukgeschichte;Die Obristin, Auguste lagen in tiefer Ohnmacht, der ein hitziges Nervenfieber folgte.;10607;10692;/1
Am Kamin;Was Träumen?;1103;1115;/1
Tatsachen im Falle Waldemar;Für Fragen, die irgendeine andere Person an ihn richtete, schien er durchaus unempfänglich – obgleich ich mich bemühte, einen jeden aus der Versammlung in mesmeristischen Rapport mit ihm zu setzen.;17195;17392;/1
Am Kamin;Wie kommen Sie denn zu Gespenstergeschichten, alter Herr?;110;167;/0
Am Kamin;Mich friert so sehr!;28766;28786;/1
Tatsachen im Falle Waldemar;Als ich sie zum dritten Male stellte, wurde seine ganze Gestalt von einem leichten Schauer befallen:;11541;11641;/1
Am Kamin;Aber was sehen Sie denn so in die Tasse, alter Herr?;35681;35733;/0
Am Kamin;Als der Vater noch jung war, kam er eines Abends auf seiner Gesellenwanderung in eine kleine schlesische Stadt.;7849;7960;/0
Am Kamin;»Ich wollte auch schon sogleich auf den Boden zurück«, sagte er dann, »aber ich war so sehr erschrocken, als ich Sie da so am Fenster stehen sah.«;34936;35082;/1
Am Kamin;Und als sie leise vor sich hinseufzend noch eine Weile stehenblieb, bemerkte ich, daß unten der Saum ihres wollenen Rockes an mehreren Stellen angebrannt war.;28788;28946;/1
Tatsachen im Falle Waldemar;"Ich sah bald, daß ich hierin Erfolg haben würde – oder wenigstens bildete ich mir ein, ein günstiges Resultat erzielen zu können;";20358;20487;/1
Am Kamin;Aber ich erwache.;34148;34165;/1
Am Kamin;Kurz vor meinem Abgang zur Universität erkrankte die Mutter.;17276;17336;/0
Tatsachen im Falle Waldemar;Sein Antlitz war bleifarben, die Augen blickten stumpf und vollkommen glanzlos, und die Abmagerung hatte so große Fortschritte gemacht, daß die Haut von den Backenknochen durchbohrt worden war.;4340;4533;/1
Am Kamin;›Fritz, Fritz, was fehlt dir?‹ fragte ich.;5918;5960;/1
Am Kamin;Dieses kleine Ereignis, was allerdings für den Augenblick die Stimmung etwas herabdrückte, war indessen, nachdem wir den Hof erreicht hatten, durch die Heiterkeit der Umgebung und unsre eigne Jugend bald vergessen.;6347;6561;/0
Am Kamin;"Unwillkürlich sprang er vom Bett auf;";19563;19600;/1
Tatsachen im Falle Waldemar;Der einzige wirkliche Beweis mesmeristischer Einwirkung war nur mehr in der Vibration der Zunge zu erkennen, sobald ich an Herrn Waldemar eine Frage stellte.;16931;17088;/1
Am Kamin;"Er konnte indessen diesmal den Schlaf so bald nicht wiederfinden und hörte vom Kirchturm eine Stunde nach der andern schlagen;";11916;12042;/1
Am Kamin;"Er richtete sich auf und blickte mit aufgerissenen Augen vor sich hin;";10170;10240;/1
Am Kamin;"Der junge Tuchmacher ließ sich beruhigen;";10937;10978;/0
Am Kamin;Aber es ging dann nicht wie sonst, es war, als wenn die Zärtlichkeit für seine Mutter ihm die Gedanken zerstreute, und ich erinnere mich noch, wie ihm bei solchem Anlaß plötzlich die Tränen aus den Augen sprangen und er dann mit einem Lächeln und einem kurzen Blick auf sie ihre Hand sanft in ihren Schoß zurücklegte.;15895;16212;/0
Tatsachen im Falle Waldemar;"man hatte noch keinen
Sterbenden
hypnotisiert!";964;1010;/0
Am Kamin;Ich sehe sie noch vor mir, wie sie neben dem Glasschrank strack und steif in ihrem Lehnstuhl saß, zwischen Schriften und Rechnungsbüchern umhertastend oder ein großes Strickzeug mit ihren hageren Fingern bewegend.;26182;26395;/1
Am Kamin;Am Abend war ich in der Familie des dortigen Landschreibers.;4139;4199;/0
Am Kamin;Unser poetischer Freund improvisiert.;7461;7498;/0
Tatsachen im Falle Waldemar;Ich sprach sowohl von ›Laut‹ als von ›Stimme‹.;15617;15663;/0
