id,Titel,Satz,Suspense,Fragesatz,Satzlänge
18,Das Bettelweib von Locarno,"Sie hörten aber samt einem treuen Bedienten, den sie mitgenommen hatten, in der Tat, in der nächsten Nacht dasselbe unbegreifliche, gespensterartige Geräusch;",1,0,22
19,Das Bettelweib von Locarno,"und nur der dringende Wunsch, das Schloß, es koste was es wolle, loszuwerden, vermochte sie, das Entsetzen, das sie ergriff, in Gegenwart ihres Dieners zu unterdrücken, und dem Vorfall irgendeine gleichgültige und zufällige Ursache, die sich entdecken lassen müsse, unterzuschieben.",1,0,40
20,Das Bettelweib von Locarno,"Am Abend des dritten Tages, da beide, um der Sache auf den Grund zu kommen, mit Herzklopfen wieder die Treppe zu dem Fremdenzimmer bestiegen, fand sich zufällig der Haushund, den man von der Kette losgelassen hatte, vor der Tür desselben ein;",1,0,41
21,Das Bettelweib von Locarno,"dergestalt, daß beide, ohne sich bestimmt zu erklären, vielleicht in der unwillkürlichen Absicht, außer sich selbst noch etwas Drittes, Lebendiges, bei sich zu haben, den Hund mit sich in das Zimmer nahmen.",1,0,32
22,Das Bettelweib von Locarno,"Das Ehepaar, zwei Lichter auf dem Tisch, die Marquise unausgezogen, der Marchese Degen und Pistolen, die er aus dem Schrank genommen, neben sich, setzen sich, gegen eilf Uhr, jeder auf sein Bett;",1,0,32
23,Das Bettelweib von Locarno,"und während sie sich mit Gesprächen, so gut sie vermögen, zu unterhalten suchen, legt sich der Hund, Kopf und Beine zusammengekauert, in der Mitte des Zimmers nieder und schläft ein.",1,0,30
24,Das Bettelweib von Locarno,"Drauf, in dem Augenblick der Mitternacht, läßt sich das entsetzliche Geräusch wieder hören;",1,0,13
25,Das Bettelweib von Locarno,"jemand, den kein Mensch mit Augen sehen kann, hebt sich, auf Krücken, im Zimmerwinkel empor;",1,0,15
26,Das Bettelweib von Locarno,"man hört das Stroh, das unter ihm rauscht;",1,0,8
27,Das Bettelweib von Locarno,"und mit dem ersten Schritt: tapp! tapp! erwacht der Hund, hebt sich plötzlich, die Ohren spitzend, vom Boden empor, und knurrend und bellend, grad als ob ein Mensch auf ihn eingeschritten käme, rückwärts gegen den Ofen weicht er aus.",1,0,39
28,Das Bettelweib von Locarno,"Bei diesem Anblick stürzt die Marquise mit sträubenden Haaren, aus dem Zimmer;",1,0,12
29,Das Bettelweib von Locarno,"und während der Marquis, der den Degen ergriffen: wer da? ruft, und da ihm niemand antwortet, gleich einem Rasenden, nach allen Richtungen die Luft durchhaut läßt sie anspannen, entschlossen, augenblicklich, nach der Stadt abzufahren.",1,1,34
30,Das Bettelweib von Locarno,"Aber ehe sie noch einige Sachen zusammengepackt und aus dem Tore herausgerasselt, sieht sie schon das Schloß ringsum in Flammen aufgehen.",1,0,21
31,Das Bettelweib von Locarno,"Der Marchese, von Entsetzen überreizt, hatte eine Kerze genommen, und dasselbe, überall mit Holz getäfelt wie es war, an allen vier Ecken, müde seines Lebens, angesteckt.",1,0,26
32,Das Bettelweib von Locarno,"Vergebens schickte sie Leute hinein, den Unglücklichen zu retten;",1,0,9
33,Das Bettelweib von Locarno,"er war auf die elendiglichste Weise bereits umgekommen, und noch jetzt liegen, von den Landleuten zusammengetragen, seine weißen Gebeine in dem Winkel des Zimmers, von welchem er das Bettelweib von Locarno hatte aufstehen heißen.",1,0,34
34,Der Fremde,"Wenn sich Jemand die Mühe giebt, irgend eine Geschichte ernsthaft zu erzählen, so ist es die Pflicht der Zuhörer aufmerksam zu sein, und wenigstens nach dem Schein seinen Erzählungen Glauben beizumessen.",0,0,31
35,Der Fremde,"Aber bei jeder Geschichte, die sich nur etwas über das Alltägliche erhebt, auszurufen: credat Judaeus Apella! mit der Zweifelsucht dem Verfasser queer über den Weg zu laufen, ist äußerst unartig;",0,0,30
36,Der Fremde,"wenn der Leser alles besser weiß, so sollte er, meines Bedünkens nach, gar nicht mehr lesen.",0,0,16
37,Der Fremde,"Ich flehe daher die Gutherzigkeit aller an, die diese Erzählung aufschlagen, mir doch ja auf mein Wort zu glauben, nicht die Belege aus Akten zu fordern, und einem Schriftsteller soviel Ehrgefühl zuzutrauen, daß er nicht eine ganze hochansehnliche Versammlung vorsätzlich mit Lügen wird hintergehen wollen.",0,0,45
38,Der Fremde,"Ich hoffe, der Verfasser des Genius und der Memoir's des Grafen von G... hat nicht den Schriftstellerglauben so sehr durchlöchert, daß nicht noch mancher derbere Leser in dem Netze sollte stecken bleiben.",0,0,32
39,Der Fremde,"Sind Sie aber in einer sehr ungläubigen Stimmung, so machen Sie Feuer im Kamin, setzen Sie sich dicht umher, und löschen Sie das Licht aus.",1,0,25
40,Der Fremde,"Lassen Sie die Feuerbrände ihr mattes auf- und niederschießendes Licht im Zimmer verbreiten, und dann nehmen Sie das Buch und fangen Sie an zu lesen:",0,0,25
41,Der Fremde,"ich habe immer gefunden, daß ein Kaminfeuer die Phantasie erhebt, und den vorlauten Verstand etwas zum Schweigen bringt, und damit in nachfolgender Erzählung ja nicht zuviel Verstand hineingerathen möchte, schreibe ich sie vorsorglicherweise ebenfalls beim Kaminfeuer.",0,0,36
42,Der Fremde,"Es gab eine Zeit, da sich viele von den beliebtesten Historien anfingen: »Es war einmal ein Mann« u.s.w.",0,0,18
43,Der Fremde,"Es sollte mir nicht viel Mühe und Scharfsinn kosten um zu beweisen, daß dies die wahre Art sei, eine Erzählung anzufangen;",0,0,21
44,Der Fremde,"ich will aus diesem Anfange gewiß eben so viel herausbringen, als manche Commentatoren aus den ersten Versen des Homer demonstrirt haben.",0,0,21
45,Der Fremde,"Die Aufmerksamkeit wird sogleich unmittelbar auf den Hauptgegenstand gelenkt, mit dessen Lage und Beschaffenheit man sogleich bekannt gemacht wird.",0,0,19
46,Der Fremde,"Zu diesem Mittelpunkte drängen sich dann alle Theile der Geschichte, und man steht unvermerkt mitten in der Verwickelung.",0,0,18
47,Der Fremde,"Also:
Es war einmal ein Man, der war jung, schön und reich.",0,0,12
48,Der Fremde,Er liebte ein Mädchen und ward von ihr wieder geliebt.,0,0,10
49,Der Fremde,"Seine Aussicht in die Zukunft war die heiterste.",0,0,8
50,Der Fremde,"Seine Liebe war nicht die Wirkung einer plötzlichen Laune, die immer eben so schnell verblüht, als sie entsteht, sondern ein vertrauter freundschaftlicher Umgang hatte seit Jahren diese Liebe gegründet.",0,0,29
51,Der Fremde,"Friedrich Löwenstein und Amalie Willmann waren im Blüthenalter des Lebens, sie empfanden das reine Glück einer unschuldigen ungestörten Liebe, sie überließen sich ruhig der wechselnden Zeit, die für sie nur ein breiter glänzender Strom des Vergnügens war.",0,0,37
52,Der Fremde,"Beider Eltern hatten von Jugend auf ihre Liebe begünstigt, man setzte schon den Tag zur Verlobung fest, als das Ziel ihrer Wünsche noch weiter zurück gerückt ward.",0,0,27
53,Der Fremde,"Löwenstein mußte abreisen, um in einer entlegenen Gegend eine Erbschaft zu heben, deren Ueberlieferung man sich dort widersetzte.",0,0,18
54,Der Fremde,"Er nahm von Amalien zärtlichen Abschied, beide trösteten sich mit dem Gedanken, daß sie sich sehr bald wiedersehen würden.",0,0,19
55,Der Fremde,Löwenstein reiste ab.,0,0,3
56,Der Fremde,"In seinem ersten Briefe meldete er sogleich, daß die Schwierigkeiten größer wären, als er sie sich vorgestellt habe, daß ihm ein Prozeß drohe, bei welchem er gegenwärtig sein müsse, und daß er leider nur durch Schrift zu seiner Geliebten sprechen könne.",0,0,41
57,Der Fremde,"Amalie war betrübt, und tröstete sich nur durch die häufigen Briefe, die sie schrieb und empfing.",0,0,16
58,Der Fremde,"Der junge Lindner kam jetzt von seinen Reisen zurück, ein Mensch, mit dem Amalie schon in der Jugend bekannt gewesen war.",0,0,21
59,Der Fremde,"Seine Familie war eine von den angesehensten in der Provinzialstadt, in welcher Amalie wohnte;",0,0,14
60,Der Fremde,"man besuchte sich gegenseitig, und Lindner zeichnete sehr bald Amalien von allen übrigen Freundinnen aus.",0,0,15
61,Der Fremde,"Er war ein schöner Mann, der sich völlig auf der Reise gebildet hatte, er erzählte mit vielem Interesse von den Gegenständen, die er gesehen, und von den kleinen Abentheuern, die er bestanden hatte.",0,0,33
62,Der Fremde,"Da er sehr lebhaft und geistreich war, verstand er die Kunst, auch das Uninteressanteste anziehend zu machen.",0,0,17
63,Der Fremde,"Aber Amalie suchte sehr bald seine Gesellschaft zu vermeiden, denn seine Auszeichnung setzte sie in Verlegenheit, und der feurige Blick, der zuweilen ihrem Auge begegnete, machte sie erröthen.",1,0,28
64,Der Fremde,"Lindner bemerkte dieses Zurückziehen, und um so eifriger drängte er sich ihr auf, alle seine Bemühungen waren nur nach ihr gerichtet, sein Witz strebte nur nach ihrem belohnenden Lächeln. ",1,0,29
65,Der Fremde,"Er war in einem unaufhörlichen Zweikampf mit Amaliens Blicken begriffen, ihr Auge machte ihn verlegen, und doch that es ihm wohl, wenn es auf ihm ruhte.",1,0,26
66,Der Fremde,"So vergingen Tage und Wochen, und Lindner bemerkte endlich, daß er Amalien liebe;",0,0,13
67,Der Fremde,"eine Entdeckung, die ihn außerordentlich niederschlug, weil er wußte, daß sie mit Löwenstein versprochen sei.",0,0,15
68,Der Fremde,"Er zwang sich seine Leidenschaft zu unterdrücken, aber seine Vernunft war schwächer als seine Liebe, er verlor Schlaf und Munterkeit, und der blühende Jüngling ging bleich und abgezehrt wie ein Schwindsüchtiger umher.",1,0,32
69,Der Fremde,"Er entdeckte sich seinem Vater, der alles für seinen einzigen Sohn anzuwenden versprach.",1,0,13
70,Der Fremde,"Er ging auch wirklich und stellte die ganze Lage der Sachen den Eltern Amaliens in das hellste Licht, er sprach mit dem Mädchen selber, aber er kam ohne Trost zu seinem Sohne zurück.",0,0,33
71,Der Fremde,Dieser überließ sich nun gänzlich seiner Schwermuth;,1,0,7
72,Der Fremde,"die heftige Liebe ist zu eigensinnig, um den Vorstellungen und Bitten der Freunde und Verwandten Gehör zu geben.",0,0,18
73,Der Fremde,"Er war jetzt immer allein, sein liebster Aufenthalt war der Kirchhof, wo er unaufhörlich vor dem Erbbegräbniß seiner Familie auf- und niederging, und den Stamm einer Linde mit seinen Thränen benetzte, in welchen Amalie einst auf einem ihrer Spaziergänge zum Scherz ihren Namen geschnitten hatte.",1,0,45
74,Der Fremde,"Es währte nicht lange, so zog ihm die zu große Spannung der Seele ein hitziges Fieber zu, an welchem er starb.",1,0,21
75,Der Fremde,"Seine Eltern sahen ihn schweigend und weinend in die Gruft setzen, in welcher sie vor ihrem Sohne hatten ruhen wollen.",0,0,20
76,Der Fremde,"Der Vorhang fiel rauschend vor der Bühne ihres Lebens und ihrer Hoffnungen nieder, sie hatten jetzt in der Welt nichts weiter zu thun, als ihren Sohn zu beweinen und zu sterben.",0,0,31
77,Der Fremde,"Amalie war über diesen unglücklichen Vorfall äußerst betrübt, sie schrieb ihrem Geliebten alle Umstände dieser traurigen Begebenheit, der ihr dafür die erfreuliche Nachricht gab, daß er nun die frohe Aussicht habe, in wenigen Wochen seine verdrießlichen Geschäfte zu beendigen, und dann auf den Flügeln der Liebe zu ihr zurückzueilen.",0,0,49
78,Der Fremde,Mit Sehnsucht erwartete Amalie die Ankunft Löwensteins;,0,0,7
79,Der Fremde,"dieser eilte so sehr es nur möglich war, um den höchsten Freuden des Lebens in die Arme zu fliegen.",0,0,19
80,Der Fremde,"Alles war geendigt, Löwenstein rasselte über die Chausseen nach seiner Heimath zurück, seine Liebe erschien ihm bei seiner langen Abwesenheit in einem ganz neuen Gewande, er nahm sich nicht die Mühe die Gegenstände um sich her anzublicken, denn Amaliens Bildniß füllte einzig seine Seele und seine Augen, so daß er sie allenthalben wandeln sahe, in jedem grünen Busche, auf jedem Fußsteige, zwischen den Kornfeldern;",0,0,64
81,Der Fremde,"in dem vor ihm fahrenden Wagen konnte Niemand anders als Amalie sitzen, und er ließ dann so schnell fahren, als wenn ihm seine Geliebte entfliehen wollte, um in den fremden Wagen hinein zu sehen und sich betrogen zu finden.",0,0,39
82,Der Fremde,"Der fremde Boden eilte unter ihm hinweg, und er begrüßte freudig die Gränze seines Vaterlandes.",0,0,15
83,Der Fremde,"Jedes Dorf und jeder Baum kam ihm hier schon so vertraut und freundschaftlich vor, er versenkte oft seinen Blick in den kühlen Schatten der Gebüsche, und sprach wie im Traume nur von ihr, er redete sie schon an und fragte, was sie mache, und horchte dann auf das Gesäusel der Baumwipfel über sich, um sich aus den unverständlichen Accenten eine süße Antwort herauszuhören.",0,0,63
84,Der Fremde,"Das freundlichste Abendroth stand auf den Hügeln, als er nur noch ohngefähr eine Meile von seinem Wohnorte entfernt war;",0,0,19
85,Der Fremde,"er bildete sich ein, in der rothen Gluth schon die Spitzen der vaterstädtischen Thürme zu entdecken, als durch einen Stoß das Rad von der gebrochenen Axe ablief, und der Wagen im Felde stehen bleiben mußte.",1,0,35
86,Der Fremde,"Löwensteins Unruhe war zu heftig, um die Ausbesserung des Wagens abzuwarten.",1,0,11
87,Der Fremde,"Er übertrug dem Bedienten die Aufsicht über das Gepäck, und eilte fort, um noch zu Fuße vor dem Einbruch der Nacht seine Vaterstadt zu erreichen.",1,0,25
88,Der Fremde,"Der Weg führte durch einen dichten Eichenwald, der sich bis nahe vor die Thore der Stadt erstreckte.",1,0,17
89,Der Fremde,Man ging über kleine Hügel und durch anmuthige Thäler;,0,0,9
90,Der Fremde,"oft schien sich der Weg, der sich plötzlich wandte, in das Dickicht des Waldes zu verlieren, und dann lag wieder eine frische grüne Wiese da, rings von hohen Waldbäumen umkränzt. ",0,0,30
91,Der Fremde,"Löwenstein eilte, und überließ sich ganz dem wunderbaren Spiele seiner Phantasie.",0,0,11
92,Der Fremde,"Er war als Knabe manchmal auf diesen Fußsteigen gegangen, war nachher lange nicht in diese Gegend gekommen, und bemühte sich nun die dunkeln und verworrenen Erinnerungen festzuhalten, die ihm zuweilen wie schwarze Wolken vorüberfuhren.",1,0,34
93,Der Fremde,"Ein Abendwind ging durch die rauschenden Gebüsche hinter ihm her, graue Wolken flatterten um die Kronen einzelner schlanker Fichten, ein räthselhafter Wiederschein des Abendrothes stand mitten im dunkeln Walde, und äugelte durch die grüne Finsterniß.",1,0,35
94,Der Fremde,"Mit seinen Knabenjahren fielen ihm manche Aengstlichkeiten dieses Alters ein, er erinnerte sich lebhaft, wie er manchmal beim einsamen Wiederhall seiner Fußtritte kalt und bleich geworden war, und er horchte jetzt unwillkührlich auch auf das Echo seines Ganges, das in den dicht gepflanzten Eichen wie sein Genius in der Ferne wandelte;",1,0,51
95,Der Fremde,"er fuhr zusammen, und eilte noch schneller, um diese Furcht von sich abzuschütteln.",1,0,13
96,Der Fremde,"In diesen dämmernden Abendstunden, von Wäldern und stummer Einsamkeit umgeben, erscheint uns das gewühlvolle menschliche Leben gewöhnlich trübselig und freudenleer, eine unbekannte Furcht vor unbekannten Gegenständen nimmt uns bei der Hand, und wie mit einem neu geschaffenen Blicke sehen wir in die Welt hinein, die alle ihre bunten Farben verloren hat, und in einer monotonen Trübheit daliegt.",1,0,57
97,Der Fremde,"Löwensteins Phantasie war gespannt, und es ist nicht zu verwundern, wenn er jeden Athemzug des Windes aufmerksamer behorchte, und zuweilen hinunter in die zitternde Dämmerung sah, die hinter ihm lag.",1,0,30
98,Der Fremde,"Die Finsterniß hängte noch dichtere Schleier zwischen die Bäume, als er wirklich einen deutlichen Fußtritt hinter sich zu hören glaubte.",1,0,20
99,Der Fremde,Ungewiß stand er still und wartete auf das Näherkommen.,1,0,9
100,Der Fremde,"Ein blauer Mantel wogte und wühlte sich aus den übereinanderliegenden Schatten hervor, ein Mensch näherte sich ihm langsam, als wie in tiefen Gedanken versunken.",1,0,24
101,Der Fremde,"Mit einem kleinen Schauder grüßte Löwenstein zuerst, und eine freundliche Stimme dankte ihm, und bat ihn um seine Begleitung durch den dunkeln und einsamen Wald.",1,0,25
102,Der Fremde,"Es war ein junger Mensch, der auch nach der Stadt wollte, und Löwenstein schüttelte plötzlich seine Furcht und alle seine drückenden Gefühle von sich, und zog die Luft des Himmels mit großen freien Zügen ein, die er eben erst wie Kerkerdünste durch die Zähne eingeathmet hatte.",0,0,46
103,Der Fremde,"Das Gespräch lenkte sich bald auf die Stadt und ihre Bewohner, und der junge Unbekannte schien in den meisten Familien sehr zu Hause zu sein.",0,0,25
104,Der Fremde,"Löwenstein unterhielt sich an manchen Anekdoten und unbedeutenden Stadtneuigkeiten, die ihm der Fremde mittheilte;",0,0,14
105,Der Fremde,"ein lebhaftes Gespräch machte, daß er die Länge des Weges und die Dunkelheit gar nicht bemerkte.",0,0,16
106,Der Fremde,"Ich bin diesen Weg noch nicht oft gegangen, begann der Unbekannte, darum geh' ich in der Finsterniß gern in Gesellschaft, um mich in den kreuzenden Fußsteigen nicht zu verirren, oder, wenn ich falsch gehe, wenigstens nicht allein zu sein, denn ich muß Ihnen meine Schwachheit gestehen, ich fürchte mich leicht in der Nacht.",0,0,53
107,Der Fremde,Löwenstein.,-,0,1
108,Der Fremde,Ich habe diese Kinderei heute auch zum erstenmale an mir bemerkt.,0,0,11
109,Der Fremde,Die Phantasie spielt uns oft seltsame Streiche.,0,0,7
110,Der Fremde,Der Fremde.,-,0,2
111,Der Fremde,"Die Finsterniß erscheint unserm Geiste als ein feindseliges Wesen, das die Umrisse aller sichtbaren Gegenstände verwandelt und verwirret, und uns so in eine fremde bis dahin unbegreifliche Welt versetzt.",0,0,29
112,Der Fremde,"Es schneidet dann eine Ahnung durch unser Gemüth, wie wenn all' unser Wissen, all' unser Glück nur ein leeres taubes Chaos wäre, und dies macht uns betrübt und wirft unsern stolzen Geist darnieder.",0,0,33
113,Der Fremde,Löwenstein.,-,0,1
114,Der Fremde,"Wir vernehmen dann gleichsam in jedem vorübergehenden Laute eine Stimme, die uns aus unserm kläglichen Schlafe zu wecken strebt.",0,0,19
115,Der Fremde,Der Fremde.,-,0,2
116,Der Fremde,Der Wald fängt schon vor uns an licht zu werden;,0,0,10
117,Der Fremde,wir sind nicht mehr weit von der Stadt.,0,0,8
118,Der Fremde,Löwenstein.,-,0,1
119,Der Fremde,O Himmel!,1,0,2
120,Der Fremde,"sehn Sie, sehn Sie dort ",1,0,5
121,Der Fremde,"ich sehe schon die zerstreuten Lichter, die mir durch den Nebel entgegen blicken!",0,0,13
122,Der Fremde,Ich werde sie wiedersehn!,0,0,4
123,Der Fremde,Der Fremde.,-,0,2
124,Der Fremde,Sie sind sehr vergnügt.,0,0,4
125,Der Fremde,Löwenstein.,-,0,1
126,Der Fremde,"Ach Freund, ich eile einem Mädchen in die Arme, das ich so innig, so einzig liebe, und dessen Gegenliebe mich zum glücklichsten Menschen macht.",0,0,24
127,Der Fremde,Der Fremde.,-,0,2
128,Der Fremde,"Bemerken Sie, wie das, was wir unsern Geist nennen, von den äußern Gegenständen abhängt.",0,0,14
129,Der Fremde,"etzt da wir im freien Felde stehen, die Stadt mit ihren Lichtern wie ein Sternamphitheater vor uns sehen, ist alles das in Ihrer Seele erloschen, was Sie eben so schön und bedeutungsvoll sagten.",0,0,33
130,Der Fremde,Löwenstein.,-,0,1
131,Der Fremde,"Ach Freund, die Liebe stärkt unser Auge, auch in der trübsten Verworrenheit ein reizendes harmonisches Ganze zu finden.",0,0,18
132,Der Fremde,Der Fremde.,-,0,2
133,Der Fremde,Die Liebe?,1,1,2
134,Der Fremde,"Ach ja, in Ihren Jahren dachte ich gerade so.",1,0,9
135,Der Fremde,Löwenstein.,-,0,1
136,Der Fremde,"Sie scheinen doch, soviel ich sehen kann, nicht viel älter als ich zu sein.",1,0,14
137,Der Fremde,Der Fremde.,-,0,2
138,Der Fremde,Ich zweifle selbst.,1,0,3
139,Der Fremde,"Aber glauben Sie mir, ein einziger Tag, eine einzige Stunde können den Jüngling in einen Greis verwandeln.",1,0,17
140,Der Fremde,Löwenstein.,-,0,1
141,Der Fremde,Sie sind melancholisch und ich beklage Sie.,0,0,7
142,Der Fremde,Der Fremde.,-,0,2
143,Der Fremde,"Daß die Menschen doch so gern damit zufrieden sind, wenn sie einem fremdartigen Wesen einen Namen geben;",0,0,17
144,Der Fremde,"mit einem Worte ist alles in Richtigkeit gebracht, und sie glauben die Erscheinung zu verstehen, die ihnen unbegreiflich ist.",0,0,19
145,Der Fremde,Löwenstein.,-,0,1
146,Der Fremde,Sie sind vielleicht in der Liebe unglücklich gewesen.,0,0,8
147,Der Fremde,Der Fremde.,-,0,2
148,Der Fremde,Liebe ist auch nur ein Name;,0,0,6
149,Der Fremde,ach!,0,0,1
150,Der Fremde,"die Menschen wissen nicht, was sie wollen.",1,0,7
151,Der Fremde,Warum lieben Sie und streben nach Gegenliebe?,0,1,7
152,Der Fremde,"Ich glaube die einzige Ursache, warum wir leben, ist um zu sterben.",1,0,12
153,Der Fremde,Löwenstein.,-,0,1
154,Der Fremde,Welch ein trübseliger Gedanke!,0,0,4
155,Der Fremde,"Aber sie denken ihn jetzt nur, das Morgenroth oder das künftige Jahr wird ihn aus ihrer Seele nehmen, und dann haben Sie doch immer Unrecht gehabt",0,0,26
156,Der Fremde,Der Fremde.,-,0,2
157,Der Fremde,Unrecht?,1,1,1
158,Der Fremde,"und deswegen, weil kein Gedanke und keine Stimmung im Menschen die letzte bleibt?",1,1,13
159,Der Fremde,Löwenstein.,-,0,1
160,Der Fremde,"Ich bitte Sie, besuchen Sie mich zuweilen, ich will es versuchen, Sie heiterer zu machen.",0,0,15
161,Der Fremde,Er nannte ihm seinen Namen und seine Wohnung.,1,0,8
162,Der Fremde,Der Fremde.,-,0,2
163,Der Fremde,Ich will Sie besuchen;,0,0,4
164,Der Fremde,wenn Sie sich nur nicht verheiratheten.,1,0,6
165,Der Fremde,Sie wären mir dann noch einmal so theuer!,1,0,8
166,Der Fremde,Löwenstein.,-,0,1
167,Der Fremde,Sind Sie ein Weiberfeind?,1,1,4
168,Der Fremde,Der Fremde.,-,0,2
169,Der Fremde,Ich kann sie nicht lieben.,1,0,5
170,Der Fremde,Löwenstein.,-,0,1
171,Der Fremde,"Ich wette, man hat Ihnen Streiche gespielt;",0,0,7
172,Der Fremde,aber Sie werden sich gewiß mit dem Geschlechte wieder versöhnen.,0,0,10
173,Der Fremde,Der Fremde.,-,0,2
174,Der Fremde,Ich zweifle.,1,0,2
175,Der Fremde,Löwenstein.,-,0,1
176,Der Fremde,"Lernen Sie mein Mädchen kennen, und Sie werden es",1,0,9
177,Der Fremde,Ich bitte Sie hiermit zu meiner Hochzeit.,1,0,7
178,Der Fremde,Der Fremde.,-,0,2
179,Der Fremde,"Ich danke Ihnen, und ich werde ohnfehlbar kommen.",1,0,8
180,Der Fremde,Der Unbekannte stand jetzt vor einem kleinen Gebäude stille.,0,0,9
181,Der Fremde,"Wir müssen Abschied nehmen, sagte er, denn hier ist meine Wohnung.",0,0,11
182,Der Fremde,Löwenstein.,-,0,1
183,Der Fremde,So klein und eng?,1,1,4
184,Der Fremde,Ist es Ihnen nicht unbequem?,1,1,5
185,Der Fremde,Zwar die Aussicht und das Leben im Freien ersetzt das wieder.,0,0,11
186,Der Fremde,Der Fremde.,-,0,2
187,Der Fremde,"Der Mensch braucht wenig, und Raum am allerwenigsten, wenn er mit sich selbst zufrieden ist.",0,0,15
188,Der Fremde,"Leben Sie wohl, an Ihrem Hochzeittage seh' ich Sie.",1,0,9
189,Der Fremde,"Löwenstein reichte ihm die Hand, und aus dem Mantel reichte ihm der Fremdling die seinige.",0,0,15
